# Source: https://download.glycosmos.org/glycosmos_glycans_list.csv
# GlyCosmos snapshot date: 2026-08-10
# Source subsumption level: Base composition with linkage
# Source base-composition records: 8115
# GlyCombo-compatible canonical lookup records: 3398
CompositionKey	GlyTouCanAccession
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=2;dHexNAc=0;P=0;S=0;Ac=0	G83958NK
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=3;dHexNAc=0;P=0;S=0;Ac=0	G11689US
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=3;dHexNAc=0;P=0;S=0;Ac=3	G50594GU
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=4;dHexNAc=0;P=0;S=0;Ac=0	G96866AT
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=12;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G26237ZE
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=2;dHexNAc=0;P=0;S=0;Ac=3	G10428JB
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=2;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G33589OZ
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=3;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G26323MB
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=4;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G08226LE
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=5;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G90428KI
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=2;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G63312LH
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=10;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G75765RB
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=11;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G61357RI
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=12;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G36086YG
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=13;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G00640ZR
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=14;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G69384CV
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G07440KA
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=1;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G20503CS
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=23;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G64555XB
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G99713BQ
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=3	G49187VV
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=3;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G81103XS
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=4;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G81977CV
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=4;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=4	G40184PM
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=5;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G59226GT
